Date,Open,High,Low,Close,Volume
06/12/2024,"541.63","544.12","540.30","541.36","63,251,312"
06/11/2024,"534.07","537.01","532.05","536.95","36,383,406"
06/10/2024,"533.18","535.99","532.57","535.66","35,729,246"
06/07/2024,"533.66","536.89","532.54","534.01","43,224,527"
06/06/2024,"534.98","535.42","532.68","534.66","30,808,529"
06/05/2024,"530.77","534.69","528.73","534.67","47,610,367"
06/04/2024,"526.46","529.15","524.96","528.39","34,632,660"
06/03/2024,"529.02","529.31","522.60","527.80","46,835,699"
05/31/2024,"523.59","527.50","518.36","527.37","90,785,758"
05/30/2024,"524.52","525.20","521.33","522.61","46,468,512"
05/29/2024,"525.68","527.31","525.37","526.10","45,190,320"
05/28/2024,"530.27","530.51","527.11","529.81","36,269,602"
05/24/2024,"527.85","530.27","526.88","529.44","41,291,078"
05/23/2024,"532.96","533.07","524.72","525.96","57,211,199"
05/22/2024,"530.65","531.38","527.60","529.83","48,389,969"
05/21/2024,"529.28","531.52","529.07","531.36","33,437,000"
05/20/2024,"529.57","531.56","529.17","530.06","37,764,207"
05/17/2024,"528.81","529.52","527.32","529.45","59,187,594"
05/16/2024,"529.88","531.52","528.54","528.69","50,244,832"
05/15/2024,"525.83","530.08","525.18","529.78","59,504,898"
05/14/2024,"521.11","523.83","520.56","523.30","57,535,871"
05/13/2024,"522.56","522.67","519.74","520.91","36,716,359"
05/10/2024,"521.81","522.64","519.59","520.84","52,233,168"
05/09/2024,"517.38","520.21","516.71","520.17","43,643,672"
05/08/2024,"515.26","517.74","515.14","517.19","42,047,207"
05/07/2024,"517.56","518.57","516.45","517.14","52,561,301"
05/06/2024,"513.75","516.61","513.30","516.57","47,264,699"
05/03/2024,"511.16","512.55","508.56","511.29","72,756,711"
05/02/2024,"504.15","505.89","499.55","505.03","62,550,180"
05/01/2024,"501.38","508.19","499.87","500.35","80,242,844"
04/30/2024,"508.56","509.56","501.98","501.98","77,483,570"
04/29/2024,"510.09","510.75","507.25","510.06","46,415,449"
04/26/2024,"506.35","509.88","505.70","508.26","64,306,121"
04/25/2024,"499.18","504.27","497.49","503.49","69,122,367"
04/24/2024,"506.56","507.37","503.13","505.41","55,928,078"
04/23/2024,"501.78","506.09","499.53","505.65","64,633,621"
04/22/2024,"497.83","502.38","495.43","499.72","67,961,047"
04/19/2024,"499.44","500.46","493.86","495.16","102,212,602"
04/18/2024,"501.98","504.13","498.56","499.52","74,548,086"
04/17/2024,"506.05","506.22","499.12","500.55","75,910,312"
04/16/2024,"504.94","506.50","502.21","503.53","73,484,016"
04/15/2024,"515.13","515.30","503.58","504.45","92,101,445"
04/12/2024,"514.37","515.82","509.08","510.85","92,561,086"
04/11/2024,"515.68","519.48","512.08","518.00","70,099,008"
04/10/2024,"513.48","516.16","512.09","514.12","82,652,805"
04/09/2024,"520.50","520.75","514.35","519.32","68,124,391"
04/08/2024,"519.15","520.18","517.89","518.72","48,401,754"
04/05/2024,"514.46","520.44","514.01","518.43","74,546,477"
04/04/2024,"523.52","523.87","512.76","513.07","96,858,070"
04/03/2024,"517.72","520.95","517.67","519.41","59,155,762"
04/02/2024,"518.24","518.98","516.48","518.84","74,230,312"
04/01/2024,"523.83","524.38","520.97","522.16","62,477,539"
03/28/2024,"523.21","524.61","522.78","523.07","96,294,891"
03/27/2024,"521.71","523.21","519.49","523.17","82,999,773"
03/26/2024,"521.23","521.58","518.40","518.81","65,463,738"
03/25/2024,"519.80","520.95","519.61","519.77","48,512,113"
03/22/2024,"522.11","522.61","520.97","521.21","79,070,844"
03/21/2024,"523.39","524.11","521.91","522.20","60,256,113"
03/20/2024,"515.77","520.62","515.08","520.48","69,594,570"
03/19/2024,"512.15","516.00","511.12","515.71","60,755,262"
03/18/2024,"514.00","515.48","512.44","512.86","88,893,328"
03/15/2024,"510.21","511.70","508.12","509.83","107,646,305"
03/14/2024,"516.97","517.13","511.82","514.95","110,171,797"
03/13/2024,"517.11","517.29","514.49","515.97","55,104,090"
03/12/2024,"513.45","517.38","510.86","516.78","73,114,438"
03/11/2024,"510.48","511.88","508.50","511.28","62,557,180"
03/08/2024,"515.46","518.22","511.13","511.72","86,532,547"
03/07/2024,"513.14","515.89","509.81","514.81","58,652,090"
03/06/2024,"510.55","512.07","508.42","509.75","68,382,367"
03/05/2024,"510.24","510.70","504.91","507.18","72,855,617"
03/04/2024,"512.03","514.20","512.00","512.30","49,799,262"
03/01/2024,"508.98","513.29","508.56","512.85","76,844,844"
02/29/2024,"508.07","509.74","505.35","508.08","83,924,797"
02/28/2024,"505.33","506.86","504.96","506.26","56,506,633"
02/27/2024,"506.70","507.16","504.75","506.93","48,854,527"
02/26/2024,"508.30","508.75","505.86","505.99","50,386,738"
02/23/2024,"509.27","510.13","507.10","507.85","61,321,820"
02/22/2024,"504.01","508.49","503.02","507.50","76,402,547"
02/21/2024,"495.42","497.37","493.56","497.21","59,603,770"
02/20/2024,"497.72","498.41","494.45","496.76","71,736,734"
02/16/2024,"501.70","502.87","498.75","499.51","75,532,930"
02/15/2024,"499.29","502.20","498.80","502.01","61,682,961"
02/14/2024,"496.79","499.07","494.40","498.57","68,387,828"
02/13/2024,"494.53","497.09","490.72","494.08","113,099,203"
02/12/2024,"501.17","503.50","500.24","500.98","56,502,281"
02/09/2024,"498.84","501.65","498.49","501.20","63,979,379"
02/08/2024,"498.10","498.71","497.26","498.32","52,343,641"
02/07/2024,"496.29","498.53","495.36","498.10","70,556,516"
02/06/2024,"493.52","494.32","492.05","493.98","55,918,602"
02/05/2024,"493.70","494.38","490.23","492.55","75,757,102"
02/02/2024,"489.65","496.05","489.30","494.35","99,228,195"
02/01/2024,"484.63","489.23","483.80","489.20","91,891,641"
01/31/2024,"488.62","489.08","482.86","482.88","126,011,102"
01/30/2024,"490.56","491.62","490.11","490.89","58,618,391"
01/29/2024,"487.73","491.42","487.17","491.27","61,322,754"
01/26/2024,"487.59","489.12","486.54","487.41","76,641,609"
01/25/2024,"487.58","488.31","485.39","488.03","72,524,992"
01/24/2024,"487.81","488.77","484.88","485.39","81,765,039"
01/23/2024,"484.01","485.11","482.89","484.86","49,945,301"
01/22/2024,"484.01","485.22","482.78","483.45","75,844,930"
01/19/2024,"477.65","482.72","476.54","482.43","110,834,492"
01/18/2024,"474.01","477.06","472.42","476.49","91,856,250"
01/17/2024,"471.82","472.79","469.87","472.29","68,843,875"
01/16/2024,"475.26","476.61","473.06","474.93","85,014,875"
01/12/2024,"477.84","478.60","475.23","476.68","58,026,422"
01/11/2024,"477.59","478.12","472.26","476.35","77,940,719"
01/10/2024,"474.16","477.45","473.87","476.56","67,310,641"
01/09/2024,"471.87","474.93","471.35","473.88","65,931,438"
01/08/2024,"468.43","474.75","468.30","474.60","74,879,070"
01/05/2024,"467.49","470.44","466.43","467.92","86,118,914"
01/04/2024,"468.30","470.96","467.05","467.28","84,232,172"
01/03/2024,"470.43","471.19","468.17","468.79","103,585,906"
01/02/2024,"472.16","473.67","470.49","472.65","123,007,797"
12/29/2023,"476.49","477.03","473.30","475.31","122,283,102"
12/28/2023,"476.88","477.55","476.26","476.69","77,158,117"
12/27/2023,"475.44","476.66","474.89","476.51","68,000,312"
12/26/2023,"474.07","476.58","473.99","475.65","55,386,953"
12/22/2023,"473.86","475.38","471.70","473.65","67,160,414"
12/21/2023,"471.33","472.98","468.84","472.70","86,667,469"
12/20/2023,"473.96","475.90","467.82","468.26","102,921,000"
12/19/2023,"472.53","474.92","472.45","474.84","55,761,809"
12/18/2023,"470.98","472.98","469.89","471.97","70,375,289"
12/15/2023,"469.49","470.70","467.43","469.33","141,553,703"
12/14/2023,"472.50","473.73","469.25","472.01","119,026,000"
12/13/2023,"464.49","470.76","464.12","470.50","93,277,961"
12/12/2023,"461.63","464.20","460.60","464.10","68,327,617"
12/11/2023,"459.69","462.17","459.47","461.99","65,002,246"
12/08/2023,"457.46","460.75","457.21","460.20","83,194,398"
12/07/2023,"456.91","458.90","456.29","458.23","66,995,445"
12/06/2023,"458.81","458.84","454.31","454.76","69,124,688"
12/05/2023,"455.26","457.59","454.87","456.60","69,793,469"
12/04/2023,"455.60","459.12","454.34","456.69","72,430,891"
12/01/2023,"455.77","459.65","455.16","459.10","89,183,398"
11/30/2023,"455.48","456.76","453.34","456.40","79,752,703"
11/29/2023,"457.15","458.32","454.20","454.61","63,145,992"
11/28/2023,"454.08","456.27","453.50","454.93","62,115,008"
11/27/2023,"454.65","455.49","454.08","454.48","50,505,992"
11/24/2023,"455.07","455.50","454.73","455.30","29,737,381"
11/22/2023,"454.98","456.38","453.89","455.02","59,446,566"
11/21/2023,"453.18","454.13","451.96","453.27","49,244,641"
11/20/2023,"450.53","455.13","450.52","454.26","70,055,633"
11/17/2023,"450.24","451.42","449.29","450.79","83,193,906"
11/16/2023,"449.22","450.56","448.12","450.23","66,665,797"
11/15/2023,"450.11","451.38","448.80","449.68","77,327,570"
11/14/2023,"446.32","450.06","446.09","448.73","97,176,945"
11/13/2023,"439.23","441.33","438.42","440.19","52,236,070"
11/10/2023,"435.98","440.93","433.83","440.61","89,558,047"
11/09/2023,"438.43","438.47","433.40","433.84","83,174,414"
11/08/2023,"437.55","438.09","434.87","437.25","61,746,031"
11/07/2023,"435.69","437.59","434.51","436.93","64,256,113"
11/06/2023,"435.47","436.15","433.68","435.69","67,831,664"
11/03/2023,"433.14","436.29","433.01","434.69","100,167,797"
11/02/2023,"426.58","430.92","426.56","430.76","94,938,914"
11/01/2023,"419.20","423.50","418.65","422.66","98,068,117"
10/31/2023,"416.18","418.53","414.21","418.20","79,665,148"
10/30/2023,"413.56","416.68","412.22","415.59","86,562,680"
10/27/2023,"414.19","414.60","409.21","410.68","107,367,695"
10/26/2023,"416.45","417.33","411.60","412.55","115,156,797"
10/25/2023,"421.89","421.92","417.02","417.55","94,223,203"
